arabic,english
ما هذا؟,What's this?
من رسم هذه اللوحة؟,Who painted this painting?
هذا بيتي وهذه أرضي!,This house and this land are mine.
أحببت هذا الفيلم.,I liked this film.
من كتب هذا الكتاب؟,Who wrote this book?
من وضع هذه الخطة؟,Who made this plan?
هذا ليس عدلاً.,This isn't fair.
هذا ليس عدلاً.,That's not fair.
هذا ليس عدلاً.,That isn't fair.
اشتريته بالأمس.,I bought this yesterday.
هذا لك.,This is for you.
هذا كتاب.,This is a book.
هذا كتابها.,This is her book.
قابلنا كاتباً.,We met a writer.
الطريق طويل.,The road is long.
العالم قرية صغيرة.,It's a small world.
العالم قرية صغيرة.,The world is a small village.
الكرز أحمر.,Cherries are red.
المنافسة قوية.,The competition is fierce.
نحن عرب.,We are Arabs.
هو ذكي.,He is smart.
إنه ذكي.,He is smart.
أنت صديقي.,You are my friend.
هذا دفتري.,This is my notebook.
عيادة الطبيب في الدور الثاني.,The doctor's office is on the second floor.
إنه جدير بأن يكون قائد فريقنا.,He is worthy to be captain of our team.
إنه يعرفنا جيداً.,He knows us very well.
أحبه أكثر من بقية الأولاد.,I love him more than any of the other boys.
لم ينجُ أحد من تحطم الطائرة.,No one survived the plane crash.
هذا غير صحيح.,This is not true.
ما أجمل هذه الزهرة!,How beautiful this flower is!
تتكاثر الفئران بسرعة.,Rats breed rapidly.
هذا الحلم سَيَتَحَقَّق.,This dream will come true.
هذه قصة حقيقية.,This story is true.
لكن هذا ليس صحيحاً.,But this is not true.
زوجتي طبيبة.,My wife is a doctor.
الموسيقى لغة عالمية.,Music is a universal language.
الحمد لله.,Thank God.
سرق الرجل حقيبة يدي.,The man robbed me of my purse.
عندي مشكلة.,I have a problem.
هناك عوامل كثيرة.,There are many factors.
قابلتها في الشارع.,I met her on the street.
أيمكنك رؤية الفرق؟,Can you see the difference?
أيمكنك ملاحظة الفرق؟,Can you see the difference?
المهم هو العمل.,What's important is work.
أنت لست صديقنا.,You are not our friend.
الدلفين نوع من الثدييات.,A dolphin is a kind of mammal.
عاد السفير.,The ambassador returned.
صفق الجمهور للممثلة.,The audience applauded the actress.
لا أعرف شيئاً.,I don't know anything.
رفع يده.,He raised his hand.
ضحك الطلاب.,The students laughed.
لا تلمس البضاعة.,Don't touch the goods.
الأولاد نائمون.,The kids are asleep.
سأشتري سيارة.,I will buy a car.
من فضلك إتّصل بي لاحقاً.,Please call me up later.
هنا موقع الحادث.,This is where the accident happened.
سررت بلقائك.,It was very nice seeing you again.
تنافس عشر فرق على الجائزة.,Ten teams competed for the prize.
أعرّفك بصديقي.,May I introduce my friend to you?
مبيعات السيارات اليابانية في الخارج جيدة.,Japanese cars sell well overseas.
أصبح بوب مهندساً.,Bob became an engineer.
أعتقد أن شكسبير أعظم كاتب دراما في التاريخ.,I believe Shakespeare is the greatest dramatist that ever lived.
حضر اللقاء عدد من أصحاب الإختصاص.,A number of experts attended the meeting.
ترك الباب مفتوحاً.,He left the door open.
أعطني انطباعك عن هذا الكتاب.,Give me your impression of this book.
لنكمل حديثنا.,Let's carry on the discussion.
أحقا مات أبي؟,Did my father really die?
يا لها من جملة!,What a sentence!
هو ولد مشاغب.,He is a naughty boy.
درّسني التاريخ.,He taught me history.
هذا المنتزه يذكّرني بطفولتي.,This park reminds me of my childhood.
هذا المنتزه جميل و نظيف حقاً.,This park is really beautiful and clean.
كاد الولد أن يغرق.,The boy was almost drowned.
شك المحامي في براءته.,The lawyer doubted his innocence.
نصحها الطبيب بأخذ إجازة.,The doctor advised that she take a holiday.
سامحني من فضلك.,Please forgive me.
لا أحب أن أطبخ عندما يكون الجو حارّاً.,I don't like to cook when it's hot outside.
من ارتكب هذه الجريمة حتماً فقد عقله.,That man who committed that crime was out of his mind.
من ارتكب هذه الجريمة حتماً فقد عقله.,Whoever committed this crime was surely out of his mind.
علمتني عمتي كيف أحضّر قهوةً لذيذة.,My aunt showed me how to make good coffee.
هذا بيت و ذلك مسجد.,This is a house and that is a mosque.
الباب مفتوح.,The door is open.
القلم مكسور.,The pen is broken.
أين الولد؟,Where is the boy?
ذهب بلال إلى المدرسة.,Bilal went to school.
لمن هذا؟,Whose is this?
هذا جميل ، و ذلك أيضاً جميل.,"This is beautiful, and that is also beautiful."
فوزنا مؤكّد.,Our victory is secure.
وافق المدرس على خطته.,The teacher approved his plan.
قام بالعمل كما طُلب.,He accomplished the work as planned.
سررت بمعرفتك.,I'm pleased to meet you.
تشرّفت بلقائك.,I'm pleased to meet you.
كيف حالك؟,How are you doing?
كيف حالك؟,How are you?
بدأت صحته تتدهور.,His health has begun to decline.
أين ذهب؟,Where did he go?
لا تفتح الباب.,Don't open the door.
زُرِعَت الأشجار بجانب الطريق.,Trees are planted along the street.
كان رجلاً سابقاً لعصره.,He was far in advance of his days.
ها قد أتى الباص.,There comes the bus.
هذا الكتاب لعلي.,This book is Ali's.
كرم مدرس جديد.,Karam is a new teacher.
المدرس الجديد في الفصل.,The new teacher is in the class.
أنا في بيت جديد.,I am in a new house.
السيارة التي أمامي لكرم.,The car that's in front of me is Karam's.
المدرس عند المدير.,The teacher is with the school principal.
أذهبت إلى المدرسة اليوم؟,Did you go to school today?
من في البيت؟,Who is in the house?
أحب اللّغة العربية.,I love Arabic.
ماذا تحب؟,What do you like?
ماذا تحب أن تأكل؟,What do you like to eat?
سعة الخزان خمسون جالوناً.,The tank has a capacity of fifty-gallons.
سأساعده غداً.,I will help him tomorrow.
أعد الكتاب إلى صاحبه.,Give the book back to the owner.
الفتاة تشعر بالوحدة.,The girl is lonely.
كنّا نسبح في النهر.,We used to swim in this river a lot.
قررت أن أعمل لحساب شركة في الولايات المتحدة.,I've made up my mind to work for a company in the States.
قررت أن أعمل لحساب شركة في أمريكا.,I've made up my mind to work for a company in the States.
جون في عمر أخي.,John is as old as my brother.
هذا ما نريد أن نعرفه.,This is what we want to know.
من فضلك إلغِ هذا الملفّ.,Please delete this file.
من أين أنت؟,Where do you come from?
من أين أنت؟,Where are you from?
من أي بلد أنت؟,Which country are you from?
من أي بلد أنت؟,Where are you from?
أين بيتك؟,Where is your house?
أين تسكن؟,Where do you live?
ما عنوانك؟,What is your address?
الطالبة التي جلست أمام المدرّسة من ألمانيا.,The female student that sat in front of the teacher is from Germany.
بعضهم مدرّسون ، وبعضهم مهندسون.,"Some of them are teachers, and some are engineers."
هم إخوتي.,They are my brothers.
هنّ أخواتي.,They are my sisters.
أيّ طالب خرج؟,Which student went out?
من هذان الولدان؟,Who are these two boys?
كم كتاباً قرأت؟,How many books did you read?
هما في الغرفة.,They are both in the room.
كم قلماً عندك؟,How many pens do you have?
رأيت خمسة رجال.,I saw five men.
لديّ عشرة أقلام.,I have ten pens.
حملت ثلاثة كتب.,I carried three books.
مررت بأربعة بيوت.,I passed by four houses.
لي أخت واحدة.,I have one sister.
يبدو أن العصافة هدأت.,It appears the storm has calmed down.
علينا أن نهتمّ بالمحافظة على تراثنا الوطني.,We must all take care to preserve our national heritage.
لديها خمس إخوة أكبر منها.,She has five older brothers.
لديها خمسة إخوان كبار.,She has five older brothers.
صوتها ناعم و واضح.,She has a soft and clear voice.
قلّده و حسب.,Just imitate what he does.
خرجت العائلة كلّها لتتمشّى.,The whole family is out for a walk.
لا أشكّ لحظة في صدقك.,I don't for a moment doubt your honesty.
إنّ الكتابَ سهلٌ.,The book is easy.
الكتابُ سهلٌ.,The book is easy.
لعلّ الجوّ جميل.,Perhaps the weather is fine.
إنّك غنيّ.,You are rich.
أنت غنيّ.,You are rich.
بلال ذو علم.,Bilal is a person of knowledge.
بلال ذو علم.,Bilal is educated.
مريم ذات خلق.,Maryam is a person of good manners.
مريم ذات خلق.,Maryam is well behaved.
أمدرّس أنت أم طالب؟,Are you a teacher or a student?
أإلى القاهرة ذهبت أم إلى الاسكندرية؟,Did you go to Cairo or Alexandria?
خذ هذا أو ذاك.,Take this or that.
ليس البيت بجديد.,This house is not new.
ما زالت تعتمد على والديها.,She still depends on her parents.
جريدة اليوم تحذّر من قدوم عاصفة.,Today's paper says that a typhoon is coming.
من فضلك أرني إياها مرة أخرى.,Please show it to me again.
مات لنكولن في عام ١٨٦٥ للميلاد.,Lincoln died in 1865.
هذه المسألة سهلة لدرجة أن أيّ طالب يمكنه حلّها.,This is such an easy problem that any student can solve it.
الرياضيات مادّتي المفضّلة.,Mathematics is my favorite subject.
أدخله.,Bring him in.
أهو أمريكي؟,Is he American?
دعني أساعدك.,Let me help you.
اليوم ممطر.,It's a rainy day.
من فضلك أعطني قلماً و بضعة أوراق.,Please give me a pencil and some sheets of paper.
كيف لي أن أعرف؟,How should I know?
رأيت رجلاً يتّجه نحوي.,I saw a man coming toward me.
أعرف كم عمرك.,I know how old you are.
أنتم معلّمون.,You are teachers.
أنتم مدرّسون.,You are teachers.
كنّا كلّنا متعبون.,We were all tired.
لنواجه الحقائق.,Let's face the facts!
بدأ يشعر بالمرض.,He began to feel ill.
أبي مدرّس.,My father is a teacher.
أبي لا يقرأ كتاباً الآن.,My father isn't reading a book now.
البيت مسكون.,The house is haunted.
البيت مسكون بالأشباح.,The house is haunted.
ماذا تظن نفسك فاعلاً؟,What do you think you're doing?
ابق مكانك.,Stay where you are.
أقدّر شجاعته.,I admire his courage.
عليك أن تطيع والديك.,You should obey your parents.
قفز من النافذة.,He jumped out the window.
أيمكنني أن أدخّن هنا؟,May I smoke here?
لدينا أخبار جيدة.,We have good news.
يمكنك استعارة هذا الكتاب بشرط أن تبقيه نظيفاً.,You may borrow this book as long as you keep it clean.
يمكنك استعارة الكتاب بشرط أن تحافظ عليه.,You may borrow this book as long as you keep it clean.
إنه دورك.,It's your turn.
لست من الهند.,I am not from India.
بلال أطْوَلُ من كرم.,Bilal is taller than Karam.
أنت أحْسَنُ منّي.,You are better than me.
كرم أحسن طالب في المدرسة.,Karam is the best student in the whole school.
كأنّك من الهند.,It looks like you are from India.
كأنّ هذه السيارة له.,It looks like this car is his.
ستتزوّج برجل ثريّ.,She will get married to a rich man.
يمكن معالجة السرطان إذا اِكْتُشِفَ في مرحلة مبكّرة.,Cancer can be cured easily if it is found in its first phase.
الجميع يحبون الموسيقى.,Everybody loves music.
ماذا حدث بالأمس؟,What happened last night?
ما الذي حصل البارحة؟,What happened last night?
بقي القليل من الحليب في الزجاجة.,There is little milk left in the bottle.
استطاع أن يبني بيتاً صغيراً.,He was able to build a small house.
فاطمة أكبر طالبة في فصلنا.,Fatima is the eldest student in our class.
استلم الجائزة أحد عشر طالباً.,Eleven students received the award.
منذ ١٩٩۰م و حتّى الآن ، استلم الجائزة إحدى عشرة طالبةً.,"Since 1990, eleven female students received the award."
لا تصرخ في وجهي.,Don't yell at me.
اِغسل رجليك.,Wash your feet.
لم يكن لديّ وقت للأكل.,I had no time to eat.
اشترى لنا عمّي جهاز تلفاز جديد.,My uncle brought a new TV set for us.
أيمكنك أن تعلّمني كيف أستخدم الغسّالة؟,Could you tell me how to use this washing machine?
كم من الوقت يلزم للوصول إلى المحطّة.,How long does it take to get to the station?
زرت أمريكا.,I have visited America.
جلسوا تحت ظل شجرة.,They sat in the shade of a tree.
هل الحمّام جاهز؟,Is the bath ready?
أنا حُرّ.,I'm free.
نسيت أن أسأله.,I forgot to ask him.
أصبحا زوجاً و زوجة.,They became man and wife.
سيأتي الربيع قريباً.,Spring will come soon.
هل غاب أحد اليوم؟,Is anyone absent today?
أتوقّع أن يصل قريباً.,I expect him to come soon.
إذا ابتسم المهزوم أفقد المنتصر لذة الفوز.,If the loser smiled the winner will lose the thrill of victory.
كلنا كالقمر ، لنا جانب مظلم لا نظهره لأحد.,"Everyone is a moon, and has a dark side which he never shows to anybody."
لا تتحدى من ليس لديه ما يخسره.,Don't challenge someone who has nothing to lose.
جاء الطالب من لندن.,The student came back from London.
الولد عطشان.,The boy is thirsty.
أُنْشِئَتْ مدارس.,Schools were built.
هذه عصافير.,These are birds.
سلّمت على التلميذ الأسبق.,I shook hands with the former student.
لا تجادل وانت غضبان ولا تأكل وانت شبعان.,Don't argue when you are angry and don't eat when you are full.
هاتان صورتان جميلتان.,These are two nice pictures.
هاتان صورتان جميلتان إطاراهُما.,These are two pictures with a nice frame.
هذا عمل نافع.,This is a beneficial work.
هذا عمل ينفع الآخرين.,This is a work that benefits others.
أغلق عينيك.,Close your eyes.
يمكنها تحدث اليابانيّة.,She can speak Japanese.
نظّفنا صفّنا.,We've finished cleaning our classroom.
أعتمد عليك.,I'm counting on you.
لونه أحمر.,Its color is red.
لونها أحمر.,Its color is red.
لا عجب أنّ البعض يشعرون بالتوتر عند دخولهم المستشفى.,It is no wonder that some people feel anxiety at the thought of walking into a hospital.
إنّها مفاجأة.,It's a surprise.
الجو بارد.,It's cold.
الجو بارد.,It is cold.
إنها تمطر.,It is raining.
إنها تمطر.,It's raining.
الجو ممطر.,It is raining.
لا تنسنا.,Don't forget about us!
ليس مهماً.,It's not important.
لا تنس التذكرة.,Don't forget the ticket.
لا تنس تذكرة الدخول.,Don't forget the ticket.
سررت بعودتك.,I'm glad to see you back.
سأوصلك إلى المطار.,I'll drive you to the airport.
أما زلت تذكر؟,Do you remember?
ماذا عليّ أن أحضر؟,What should I bring?
لنعد أدراجنا.,Let's turn back.
إنها ساعة متأخرة.,It's late.
ماذا؟,What?
ارجع إلى الوراء من فضلك.,"Stand back, please."
تنحّى جانبا إذا سمحت.,"Stand back, please."
أحضرها لي.,Bring it to me.
هناك الكثير من الفنادق في وسط المدينة.,There are many hotels downtown.
أتذكّر أنّي شاهدت هذا الفيلم.,I remember seeing the movie.
أتمنّى أن تأتي مرّة أخرى.,I do hope you'll come again.
لا. أنا آسف، عليّ العودة مبكراً.,"No. I'm sorry, I've got to go back early."
هذه التفاحة شديدة الحمرة.,This apple is very red.
هذه التفاحة حمراء جداً.,This apple is very red.
سأريك بعض الصور.,I will show you some pictures.
الآن تذكرت.,Now I remember.
آه ، متى سيتقابلون مجدداً؟,"Ah, when will they meet again?"
سأعاود الإتصال بك.,I'm gonna have to call you back.
لا تنظر إلى الوراء.,Don't look back.
الجو حار اليوم.,It's hot today.
عادة ما أغسل الصحون.,I usually do the dishes.
أحضر أولادك معك.,Bring your children along.
لا تنس أن لدينا واجباً.,Don't forget that we have homework.
هل تذكرني؟,Do you remember me?
أما زلت تذكرني؟,Do you remember me?
لن أعود.,I'm not going back.
أنا في المطار الآن.,I'm at the airport now.
سأعود.,I'll come back.
ليس هناك ما ينقص.,Nothing is missing.
الآباء يحبون أولادهم.,Parents love their children.
إنها لأخي.,It's my brother's.
أطفئ الضوء. لا يمكنني النوم.,Switch off the light. I can't get to sleep.
أشعل الضوء. لا يمكنني أن أرى شيئاً.,Switch on the light. I can't see anything.
أنا متأكد من أنها ستعود قريباً.,I'm sure that she will come back soon.
أنا متأكد من أنها ستعود قريباً.,I'm sure she will return soon.
أرني مثالاً آخر.,Show me another example.
أراك غداً في المكتبة.,See you tomorrow at the library.
أراك غداً عند المكتبة.,See you tomorrow at the library.
ستضل طريقك.,You'll get lost.
ستضيع.,You'll get lost.
هذا هو السؤال.,The question is this.
هذه هي المسألة.,The question is this.
من محاسن القاموس الإلكتروني أنه سهل الحمل.,The good thing about this electronic dictionary is that it's easy to carry.
عليك أن تقوم بالواجب.,You must perform your duty.
فبدأ الطبيب بالكشف عليها.,So the doctor started to examine her.
فبدأ الطبيب بمعاينتها.,So the doctor started to examine her.
فقدت الوعي.,I lost consciousness.
خسر فريقنا.,Our team lost.
خسر توم وظيفته.,Tom lost his job.
أين وُلِدَ توم؟,Where was Tom born?
أذكر أني سمعت قصة مشابهة.,I remember hearing a very similar story to that.
هذا الفندق أفضل من ذاك الفندق.,This hotel is better than that hotel.
متى وُلِدْت؟,When were you born?
أذكر أني قابلت ذلك الرجل من قبل في كامبردج.,I remember meeting that man at Cambridge before.
هناك صفحة ناقصة.,There is a page missing.
خسرنا تلك المباراة.,We lost the game.
لا أذكر لحن تلك الأغنية.,I can't remember the tune of that song.
كنت مشغولاً بكتابة قصة قصيرة.,I have been busy writing a short story.
لا أقدر أن أسامحه على ما فعل.,I can't forgive him for what he did.
متى ولدت؟,When was she born?
فقدت حقيبة يدها.,She lost her handbag.
يستطيع الدب تسلق الشجرة.,A bear can climb a tree.
يبدو أن السيد تناكا اجتاز الإمتحان.,It seems that Mr Tanaka has passed the exam.
ندمت على عدم حضوري الخطبة.,I regret missing the speech.
فقد الرجل الأمل كلياً.,The man lost all hope.
احترق الفندق.,The hotel was burned down.
خسروا المعركة.,They lost the battle.
خسروا الحرب.,They lost the battle.
لدي سؤال.,I have a question.
لم أنت مستعجل؟,Why are you in such a hurry?
لماذا أنت في عجلة من أمرك هكذا؟,Why are you in such a hurry?
من فضلك اِنسخ هذه الصفحة.,Please copy this page.
لن يعرف أحد.,No one will know.
أبقى جميع النّوافذ مفتوحة.,He kept all the windows open.
ضوء القمر ضعيف.,The light from the moon is weak.
ضوء القمر خافت.,The light from the moon is weak.
بنى سِياجاً حول بيته.,He built a fence around his house.
بنى سِياجاً خشبياً حول بيته.,He built a fence around his house.
هل هذه المعلومة صحيحة؟,Is this information right?
نصحني الطبيب بالإقلاع عن التدخين.,The doctor advised me to give up smoking.
ارتكبت نفس الخطأ مرّة أخرى.,She has made the same mistake as last time.
أهنّئك بنجاحك.,I congratulate you on your success.
أهنّئك بمناسبة نجاحك.,I congratulate you on your success.
كان الجو حاراً جداً ظهيرة اليوم.,It was very hot this afternoon.
اِصعدوا الباص واحداً تلو الآخر.,Get on the bus one by one.
لم يشجّعها أحد.,No one encouraged her.
لم يشجّعها أحد.,Nobody encouraged her.
حدث ذلك ذات ليلة.,It happened one night.
هذا أجمل.,This one is prettier.
عليّ أن أشتري واحدة.,I must buy one.
عدّل رئيس القسم خطّته.,The section chief altered the plan.
ذكر هاتوياما أنه يعيل عائلته بالمراهنة على سباق الخيل.,Hatoyama says that he supports his family by gambling on horse racing.
ساعدنا بعضنا.,We helped one another.
لديّ أخ واحد.,I have one brother.
لي أخ وحيد.,I have one brother.
فشل تلو الآخر.,One failure followed another.
حدث تلو الآخر.,One event followed another.
تفضّل خذ واحدة.,Please take one.
على المرء أن يستحمّ.,One should wash oneself.
يقيس حرارته.,Take one's temperature.
يبدو أن رئيس القسم يحب استغلال سلطته.,The section chief seems to like abusing his authority.
على المرء أن يجتهد.,One must do one's best.
على المرء أن يفعل كلّ ما بوسعه.,One must do one's best.
لم يساعدني أحد.,No one helped me.
لم يكن هناك أحد.,No one was present.
لن يأتي أحد.,No one is coming.
لا أحد يحب الحرب.,No one loves war.
لم يرسب أحد.,No one has failed.
كان الجو حاراً جداً عصر اليوم.,It was very hot this afternoon.
سألتني كم عمري.,She asked me how old I was.
سألتني عن عمري.,She asked me how old I was.
رفع قبّعته اِحتراماً.,He raised his hat in respect.
يعزف موسيقى.,He is playing music.
كل ما عليك فعله هو حفظ هذه الجملة عن ظهر قلب.,All you have to do is to learn this sentence by heart.
رجال و نساء قاتلوا للدفاع عن وطنهم.,Young men and women fought to defend their country.
خرج الأولاد من الغرفة واحداً تلو الآخر.,One by one the boys went out of the room.
لا يستطيع أحدٌ مساعدتي.,No one can help me.
لا أعرف متى سيكون هنا.,I don't know when he'll be here.
لديّ إحساس أني كنت هنا من قبل.,I have a feeling that I have been here before.
عليك أن تنظّف غرفتك.,You must clean your room.
نظّف غرفتك.,You must clean your room.
رفضت عرضه.,She turned down his proposal.
رفضت عرضه.,She refused his offer.
النتيجة واحد مقابل واحد.,The score is one all.
النتيجة واحد الكلّ.,The score is one all.
أيمكنك أن تُرِيَني ذلك؟,Can I see this one?
أيمكنك أن تُرِيَني ذلك؟,Could you show me that?
سآخذ هذا.,I'll take this one.
وفي يوم من الأيام ، انتحر.,One day he killed himself.
قابلته يوما.,One day I met him.
الأسود لي.,That black one is mine.
عد من واحد إلى عشرة.,Count from one to ten.
يبلغ متحدّثي اللغة الإنجليزية مليار نسمة.,One billion people speak English.
مليار شخص يتكلمون الإنجليزية.,One billion people speak English.
لحسن الحظ لم يتأذ أحد.,"Fortunately, no one was hurt."
درست لمدة ساعة.,I studied for one hour.
ذاكرت ساعة.,I studied for one hour.
الجو معتدل هنا.,The climate here is mild.
نجا من الموت بأعجوبة.,He narrowly escaped death.
كم تبعُد عن هنا؟,How far is it from here?
أريد أن أقول لك شيئاً.,I have something to tell you.
أريد أن أقول لك شيئاً.,I want to say something to you.
لا أحد يعرف اسمه.,No one knows his name.
لم يصدّق أحد قصّته.,No one believed his story.
سنكتفي بهذا الحد اليوم و نقف هنا.,Let's stop here.
توقف كِن عن الكلام و بدأ بالأكل.,Ken stopped talking and began to eat.
أحتاج مساعدتك.,I need your help.
أحتاج إلى مساعدتك.,I need your help.
أحتاج مساعدة طبية.,I need medical help.
هل تحتاج لمساعدة؟,May I help you?
!صرخت قائلة النجدة! ساعدوني.,"Help, help, she cried."
النجدة! ساعدني!,Help me.
النجدة! ساعدني!,Help! Rescue me!
النجدة!,Help!
هل لي أن أساعدك؟,Can I help you?
هل لي أن أساعدك؟,May I help you?
تفضّل البيت بيتك.,Please help yourself.
تفضّل المكان مكانك.,Please help yourself.
الى متى سنقف مكتوفى الايدى.,When will we stop sitting by and watching?
صرخ طالباً النجدة.,He screamed for help.
صرخ طالباً النجدة.,He called for help.
أُقَدِّر مساعدتك.,I appreciate your help.
نُقَدِّر مساعدتك.,We appreciate your help.
أيمكنك مساعدتي؟,Could you help me?
من فضلك ساعدني.,Could you help me?
من فضلك ساعدني.,Please help me.
مات السنة الماضية.,He died one year ago.
كان لديهما ولد واحد.,They had only one child.
رزقوا بولد وحيد.,They had only one child.
وقعوا واحداً تلو الآخر.,They fell one after another.
بدأوا واحداً تلو الآخر.,They started one after another.
وصلوا واحداً خلف الآخر.,They arrived one after another.
ماتوا واحداً تلو الآخر.,They died one after another.
ركّزت على شيء واحد.,She concentrated on one thing.
على الأصدقاء مساعدة بعضهم البعض.,Friends should help one another.
لم يأت أحد سوى ماري.,No one came except Mary.
السفر يوسع آفاق تفكير المرء.,Travel broadens one's horizons.
أقبل ولكن بشرط واحد.,"I accept, but only under one condition."
هناك تفاحة واحدة على المكتب.,There is one apple on the desk.
احترقت المنازل واحدة تلو الأخرى.,The houses caught fire one after another.
اضرب عصفورين بحجر.,To kill two birds with one stone.
بقيَ واحد وذهب الآخر.,One stayed and the other went away.
ما أسهل أن يكتسب المرء عادات سيئة!,How easily one acquires bad habits!
أرني شيئاً أرخص لو سمحت.,"Show me a cheaper one, please."
أرني شيئاً أرخص لو سمحت.,Please show me something cheaper.
لم يعد يثق به أحد بعد الآن.,No one trusts him any more.
عليك أن تساعدها.,You must help her.
طلبت النجدة.,I called for help.
هل ستساعدني؟,Will you help me?
من سيساعدني؟,Who will help me?
أحتاج إلى مساعدته.,I need his help.
هم يحتاجون المزيد من المساعدة.,They require extra help.
صرخوا طالبين النجدة.,They shouted for help.
أستساعدهم؟,Will you help them?
عليّ أن أساعده.,I must help him.
صرخت طالبة المساعدة.,She screamed for help.
تعال و ساعدنا.,Come and help us.
ساعدني في الطبخ.,Please help me cook.
من الممكن أن تمطر.,It may rain.
ستمطر قريباً.,It may rain soon.
ربما ستمطر.,It may rain.
ربما ستمطرُ بعدَ قليل.,It may rain soon.
وأخيرًا وجدت مفاتيحها المفقودة.,She finally found her missing keys.
إحدى حقائبي مفقودة.,One of my bags is missing.
لربما تمطر غداً.,It might rain tomorrow.
فجأة هطل المطر.,"Suddenly, the rain fell."
أستمطر اليوم؟,Will it rain today?
هل ستمطر اليوم؟,Will it rain today?
ستمطر الليلة.,It will rain tonight.
ربما ستمطر الليلة.,It may rain tonight.
هل ستمطر غداً؟,Will it rain tomorrow?
ربما ستمطر غداً.,It may rain tomorrow.
فجأة بدأ المطر بالهطول.,Suddenly rain began to fall.
أصبح المطر ثلجاً.,The rain changed into snow.
استمر المطر بالهطول لمدة أربعة أيام.,The rain lasted four days.
استمر المطر أسبوعاً.,The rain lasted a week.
استمر المطر خمسة أيام.,The rain lasted five days.
استمر المطر بالهطول طوال اليوم.,The rain continued all day.
أفسد المطر نزهتنا.,The rain spoiled our picnic.
ستمطر.,It is going to rain.
استمر المطر ثلاثة أيام.,The rain lasted three days.
أخيراً توقف المطر.,The rain stopped at last.
سأحضر منشفة أخرى.,I'll bring one more towel.
سأحضر فوطة أخرى.,I'll bring one more towel.
لا يعرف أحد عنوانه إلّا توم.,No one knows his address but Tom.
سُأِل كل طالب سؤالاً واحداً.,Every pupil was asked one question.
واحد منّا سيضطر للرحيل.,One of us will have to go.
إنها مئة دولار.,It was a one hundred dollar bill.
إنها ورقة نقدية من فئة المئة دولار.,It was a one hundred dollar bill.
إنها ورقة نقدية من فئة المائة دولار.,It was a one hundred dollar bill.
لَخِّص التقرير في صفحة.,Boil down the report to one page.
يزن الطرد أكثر من باوند.,The parcel weighs more than one pound.
لا يستطيع أحد أن ينكر هذا.,No one can deny the fact.
لا يستطيع أحد أن ينكر هذا.,No one could deny this.
نجا من الحادثة شخص واحد.,Only one person survived the accident.
الكلب أعور.,The dog is blind in one eye.
سآخذ الأصفر.,I'll take the yellow one.
سآخذ الصفراء.,I'll take the yellow one.
يتسع الفندق لمئة شخص.,The hotel has accommodation for one hundred.
إحدى الحقائب فارغة تماماً.,One of the suitcases is completely empty.
